Auf dem Damm, 9000 - St. Gallen, Sankt Gallen, Wahlkreis St. Gallen
Nelkenweg, 9470 - Buchs SG, Buchs (SG), Wahlkreis Werdenberg
Räfiser Feld, 9470 - Buchs SG, Buchs (SG), Wahlkreis Werdenberg
Sandweg, 9470 - Buchs SG, Buchs (SG), Wahlkreis Werdenberg
Schützenhausweg, 9470 - Buchs SG, Buchs (SG), Wahlkreis Werdenberg
Untere Gasse, 9470 - Buchs SG, Buchs (SG), Wahlkreis Werdenberg
Valgurg, 9470 - Buchs SG, Buchs (SG), Wahlkreis Werdenberg
Veilchenweg, 9470 - Buchs SG, Buchs (SG), Wahlkreis Werdenberg
Am Logner, 9470 - Buchs SG, Grabs, Wahlkreis Werdenberg
Drosselweg, 9470 - Buchs SG, Grabs, Wahlkreis Werdenberg
Haldenstrasse, 9470 - Buchs SG, Grabs, Wahlkreis Werdenberg
Hochhausweg, 9470 - Buchs SG, Grabs, Wahlkreis Werdenberg
Meisenweg, 9470 - Buchs SG, Grabs, Wahlkreis Werdenberg
Nesslenbühlweg, 9470 - Buchs SG, Grabs, Wahlkreis Werdenberg
Tränkeweg, 9470 - Buchs SG, Grabs, Wahlkreis Werdenberg
Bachwiesenstrasse, 9565 - Oppikon, Bussnang, Bezirk Weinfelden
Bahnhofstrasse, 9565 - Oppikon, Bussnang, Bezirk Weinfelden
Furtbachstrasse, 9565 - Oppikon, Bussnang, Bezirk Weinfelden
Mühleweg, 9565 - Oppikon, Bussnang, Bezirk Weinfelden
Am Furtbach, 9565 - Oppikon, Oberbussnang, Bussnang
Hauptstrasse, 9565 - Oppikon, Oberbussnang, Bussnang
Bendel-Rellenweg, 9642 - Ebnat-Kappel, Bendel, Ebnat-Kappel
Bendelverbindungsweg, 9642 - Ebnat-Kappel, Bendel, Ebnat-Kappel
Oberer Hohlverbindungsweg, 9642 - Ebnat-Kappel, Bendel, Ebnat-Kappel
Runckelweg, 9642 - Ebnat-Kappel, Bendel, Ebnat-Kappel
Runkelweg, 9642 - Ebnat-Kappel, Bendel, Ebnat-Kappel
Unterer Hohlverbindungsweg, 9642 - Ebnat-Kappel, Bendel, Ebnat-Kappel
Wintersbergstrasse, 9642 - Ebnat-Kappel, Bendel, Ebnat-Kappel
Alpenstrasse, 9479 - Malans SG, Wartau, Wahlkreis Werdenberg
Burghaldenweg, 9479 - Malans SG, Wartau, Wahlkreis Werdenberg
Gallein, 9479 - Malans SG, Wartau, Wahlkreis Werdenberg
Kirchweg, 9479 - Malans SG, Wartau, Wahlkreis Werdenberg
Schulhausweg, 9479 - Malans SG, Wartau, Wahlkreis Werdenberg
Dorfstrasse, 9479 - Malans SG, Oberschan, Wartau
Rufen, 9479 - Malans SG, Oberschan, Wartau
Kirchweg, 9479 - Malans SG, Gretschins, Wartau
